Timepoint	r-20170110-M1-0.25nM-High resolution-3h-4.csv-9	r-20170110-M1-0.25nM-High resolution-3h-4.csv-11	r-20170110-M1-0.25nM-High resolution-3h-5.csv-10	r-20170110-M1-0.25nM-High resolution-3h-5.csv-22	r-20170110-M1-0.25nM-High resolution-3h-5.csv-37	r-20170110-M1-0.25nM-High resolution-3h-5.csv-38
573	NaN	1.918	NaN	1.837	1.931	1.817
574	NaN	1.920	NaN	1.835	1.932	1.818
575	NaN	1.922	NaN	1.834	1.933	1.819
576	NaN	1.925	NaN	1.835	1.934	1.820
577	NaN	1.927	NaN	1.836	1.934	1.821
578	NaN	1.928	NaN	1.839	1.935	1.821
579	NaN	1.929	NaN	1.843	1.936	1.822
580	NaN	1.931	NaN	1.846	1.937	1.822
581	NaN	1.932	NaN	1.849	1.938	1.823
582	NaN	1.934	NaN	1.850	1.938	1.824
583	NaN	1.936	NaN	1.851	1.939	1.824
584	NaN	1.937	NaN	1.850	1.940	1.825
585	NaN	1.937	NaN	1.849	1.941	1.825
586	NaN	1.935	NaN	1.847	1.942	1.825
587	NaN	1.931	NaN	1.845	1.943	1.826
588	NaN	1.927	NaN	1.844	1.944	1.826
589	NaN	1.923	NaN	1.843	1.945	1.827
590	NaN	1.921	NaN	1.843	1.945	1.827
591	NaN	1.921	NaN	1.845	1.946	1.827
592	NaN	1.923	NaN	1.847	1.947	1.827
593	NaN	1.928	NaN	1.849	1.948	1.828
594	NaN	1.935	NaN	1.850	1.949	1.828
595	NaN	1.941	NaN	1.851	1.950	1.828
596	NaN	1.947	NaN	1.850	1.950	1.829
597	NaN	1.951	NaN	1.849	1.951	1.829
598	NaN	1.954	NaN	1.846	1.952	1.829
599	NaN	1.955	NaN	1.844	1.952	1.829
600	NaN	1.955	NaN	1.842	1.953	1.830
601	NaN	1.954	NaN	1.842	1.954	1.830
602	NaN	1.952	NaN	1.843	1.954	1.830
603	NaN	1.949	NaN	1.845	1.954	1.830
604	NaN	1.946	NaN	1.846	1.955	1.831
605	NaN	1.943	NaN	1.848	1.955	1.831
606	NaN	1.940	NaN	1.848	1.955	1.831
607	NaN	1.938	NaN	1.847	1.955	1.832
608	NaN	1.936	NaN	1.845	1.955	1.832
609	NaN	1.936	NaN	1.841	1.955	1.832
610	NaN	1.939	NaN	1.837	1.954	1.833
611	NaN	1.942	NaN	1.834	1.954	1.833
612	NaN	1.945	NaN	1.830	1.953	1.834
613	NaN	1.946	NaN	1.827	1.952	1.834
614	NaN	1.945	NaN	1.825	1.951	1.834
615	NaN	1.943	NaN	1.823	1.950	1.835
616	NaN	1.940	NaN	1.822	1.949	1.835
617	NaN	1.939	NaN	1.822	1.947	1.836
618	NaN	1.939	NaN	1.823	1.945	1.836
619	NaN	1.942	NaN	1.823	1.943	1.837
620	NaN	1.947	NaN	1.823	1.941	1.837
621	NaN	1.955	NaN	1.823	1.939	1.838
622	NaN	1.964	NaN	1.823	1.936	1.838
623	NaN	1.971	NaN	1.822	1.933	1.839
624	NaN	1.975	NaN	1.821	1.930	1.839
625	NaN	1.975	NaN	1.820	1.926	1.840
626	NaN	1.972	NaN	1.819	1.923	1.841
627	NaN	1.968	NaN	1.818	1.919	1.841
628	NaN	1.964	NaN	1.817	1.914	1.842
629	NaN	1.962	NaN	1.816	1.910	1.842
630	NaN	1.961	NaN	1.815	1.905	1.843
631	NaN	1.961	NaN	1.815	1.900	1.843
632	NaN	1.962	NaN	1.815	1.895	1.844
633	NaN	1.963	NaN	1.816	1.889	1.844
634	NaN	1.963	NaN	1.817	1.884	1.845
635	NaN	1.963	NaN	1.820	1.878	1.845
636	NaN	1.964	NaN	1.824	1.871	1.846
637	NaN	1.965	NaN	1.828	1.865	1.846
638	NaN	1.966	NaN	1.832	1.858	1.847
639	NaN	1.967	NaN	1.835	1.851	1.847
640	NaN	1.969	NaN	1.835	NaN	1.847
641	NaN	1.973	NaN	1.833	NaN	1.847
642	NaN	1.977	NaN	1.830	NaN	1.847
643	NaN	1.983	NaN	1.825	NaN	1.847
644	NaN	1.988	NaN	1.819	NaN	1.847
645	NaN	1.993	NaN	1.815	NaN	1.847
646	NaN	1.996	NaN	1.811	NaN	1.847
647	NaN	1.997	NaN	1.809	NaN	1.847
648	NaN	1.995	NaN	1.809	NaN	1.847
649	NaN	1.992	NaN	1.811	NaN	1.846
650	NaN	1.990	NaN	1.813	NaN	1.846
651	NaN	1.988	NaN	1.816	NaN	1.845
652	NaN	1.989	NaN	1.818	NaN	1.845
653	NaN	1.992	NaN	1.817	NaN	1.844
654	NaN	1.995	NaN	1.815	NaN	1.843
655	NaN	1.998	NaN	1.811	NaN	1.842
656	NaN	1.999	NaN	1.806	NaN	1.841
657	NaN	1.998	NaN	1.800	NaN	1.839
658	NaN	1.995	NaN	1.794	NaN	1.838
659	NaN	1.992	NaN	1.789	NaN	1.836
660	NaN	1.989	NaN	1.785	NaN	1.835
661	NaN	1.987	NaN	1.783	NaN	1.833
662	NaN	1.989	NaN	1.783	NaN	1.831
663	NaN	1.992	NaN	NaN	NaN	1.829
664	NaN	1.997	NaN	NaN	NaN	1.827
665	NaN	2.002	NaN	NaN	NaN	1.824
666	NaN	2.006	NaN	NaN	NaN	1.822
667	NaN	2.007	NaN	NaN	NaN	1.819
668	NaN	2.006	NaN	NaN	NaN	1.816
669	NaN	2.003	NaN	NaN	NaN	1.813
670	NaN	1.998	NaN	NaN	NaN	1.810
671	NaN	1.992	NaN	NaN	NaN	1.807
672	NaN	1.985	NaN	NaN	NaN	1.803
673	NaN	1.978	NaN	NaN	NaN	1.800
674	NaN	1.972	NaN	NaN	NaN	1.796
675	NaN	1.968	NaN	NaN	NaN	1.792
676	NaN	1.965	NaN	NaN	NaN	NaN
677	NaN	1.965	NaN	NaN	NaN	NaN
678	NaN	1.966	NaN	NaN	NaN	NaN
679	NaN	1.971	NaN	NaN	NaN	NaN
